Temperature,Humidity,CO2,Volatiles,Date

24.5,68.2,293,11,2024-04-24 18:08:13.062807
24.5,68.2,293,11,2024-04-24 18:08:13.062983
26.5,68.2,293,11,2024-04-24 18:08:21.166828
26.5,68.2,293,11,2024-04-24 18:08:21.166832
25,10,500,100,2024-04-24 20:23:45.983758
25,10,500,100,2024-04-24 20:23:45.983856
0,50,0,100,2024-04-25 17:24:20.602992
0,50,0,100,2024-04-25 17:24:20.603399
32,23,120,98,2024-04-25 17:38:30.258658
32,23,120,98,2024-04-25 17:38:30.259007
32,23,120,98,2024-04-25 18:25:31.537973
32,23,120,98,2024-04-25 18:25:31.538947
